prix,titre,lieu,surface,ville_scrape,ville
5000000,A vendre Villa à laymoune,A vendre Villa à laymoune,380.0,casablanca,Casablanca
4350000,Vend appartement à Anfa. 4 grandes pièces. Prestation de con...,Vend appartement à Anfa. 4 grandes pièces. Prestation de con...,173.0,casablanca,Casablanca
745500,Appartement à l'achat à Bournazil. Superficie 71 m²,Appartement à l'achat à Bournazil. Superficie 71 m²,71.0,casablanca,Casablanca
5400000,Magnifique villa à vendre à Ain Diab Extension,Magnifique villa à vendre à Ain Diab Extension,278.0,casablanca,Casablanca
2200000,Appartement à vendre Les princesses,Appartement à vendre Les princesses,184.0,casablanca,Casablanca
1600000,Appartement à vendre quartier Floride sidi Maarouf,Appartement à vendre quartier Floride sidi Maarouf,124.0,casablanca,Casablanca
976000,Vente d'un Studio à Californie,Vente d'un Studio à Californie,47.0,casablanca,Casablanca
1209100,Superbe appartement à vendre à Nozha Aïn Sebaâ. Surface de 8...,Superbe appartement à vendre à Nozha Aïn Sebaâ. Surface de 8...,102.0,casablanca,Casablanca
760000,Un beau appartement de 98m² neuf à vendre,Un beau appartement de 98m² neuf à vendre,98.0,casablanca,Casablanca
2800000,Appartement à vendre à Ain Diab Extension. 3 chambres,Appartement à vendre à Ain Diab Extension. 3 chambres,204.0,casablanca,Casablanca
780000,Appartement à vendre à Aïn Sebaâ. Surface de 72 m²,Appartement à vendre à Aïn Sebaâ. Surface de 72 m²,72.0,casablanca,Casablanca
2000000,Les Princesses. Résidence sécurisée. Appartement. 2Ch,Les Princesses. Résidence sécurisée. Appartement. 2Ch,80.0,casablanca,Casablanca
3000000,Appartement spacieux 267m2 à Gauthier,Appartement spacieux 267m2 à Gauthier,267.0,casablanca,Casablanca
6810000,Villa usage habitation ou commerciale sidi maarouf,Villa usage habitation ou commerciale sidi maarouf,600.0,casablanca,Casablanca
2100000,Votre prochain coup de cœur au quartier Les Princesses,Votre prochain coup de cœur au quartier Les Princesses,127.0,casablanca,Casablanca
13000000,Vente Superbe Villa Val d’Anfa,Vente Superbe Villa Val d’Anfa,400.0,casablanca,Casablanca
4150000,À VENDRE – Grand Appartement d’Exception,À VENDRE – Grand Appartement d’Exception,293.0,casablanca,Casablanca
8800000,Ain Diab. Villa de charme. Avec jardin et terrasse. 5 pièces...,Ain Diab. Villa de charme. Avec jardin et terrasse. 5 pièces...,350.0,casablanca,Casablanca
20000000,Anfa. Villa de prestige à fort potentiel. 600m2,Anfa. Villa de prestige à fort potentiel. 600m2,600.0,casablanca,Casablanca
2550000,A vendre un joli appartement bien ensoleillé,A vendre un joli appartement bien ensoleillé,186.0,casablanca,Casablanca
3800000,A vendre un joli appartement 4 ch et terrasse,A vendre un joli appartement 4 ch et terrasse,190.0,casablanca,Casablanca
