prix,titre,lieu,surface,ville_scrape
5 000 000 DH,A vendre Villa à laymoune,A vendre Villa à laymoune,380 m²,casablanca
4 350 000 DH,Vend appartement à Anfa. 4 grandes pièces. Prestation de con...,Vend appartement à Anfa. 4 grandes pièces. Prestation de con...,173 m²,casablanca
745 500 DH,Appartement à l'achat à Bournazil. Superficie 71 m²,Appartement à l'achat à Bournazil. Superficie 71 m²,Appartement à l'achat à Bournazil. Superficie 71 m²,casablanca
Projet · 20 biens immobiliers,Evergreen,Evergreen,96 m²,casablanca
5 400 000 DH,Magnifique villa à vendre à Ain Diab Extension,Magnifique villa à vendre à Ain Diab Extension,278 m²,casablanca
42 850 000 DH,À vendre – villa d’exception à ain diab – cadre privilégié &...,À vendre – villa d’exception à ain diab – cadre privilégié &...,2090 m²,casablanca
2 200 000 DH,Appartement à vendre Les princesses,Appartement à vendre Les princesses,184 m²,casablanca
Prix à consulter,Studio Meublé Neuf avec Parking,Studio Meublé Neuf avec Parking,42 m²,casablanca
À partir de 375 000 DH,Ocean 3 - Appartements à vendre,IMMOBILIER NEUF,,casablanca
1 600 000 DH,Appartement à vendre quartier Floride sidi Maarouf,Appartement à vendre quartier Floride sidi Maarouf,124 m²,casablanca
976 000 DH,Vente d'un Studio à Californie,Vente d'un Studio à Californie,47 m²,casablanca
1 209 100 DH,Superbe appartement à vendre à Nozha Aïn Sebaâ. Surface de 8...,Superbe appartement à vendre à Nozha Aïn Sebaâ. Surface de 8...,102 m²,casablanca
760 000 DH,Un beau appartement de 98m² neuf à vendre,Un beau appartement de 98m² neuf à vendre,Un beau appartement de 98m² neuf à vendre,casablanca
2 800 000 DH,Appartement à vendre à Ain Diab Extension. 3 chambres,Appartement à vendre à Ain Diab Extension. 3 chambres,204 m²,casablanca
780 000 DH,Appartement à vendre à Aïn Sebaâ. Surface de 72 m²,Appartement à vendre à Aïn Sebaâ. Surface de 72 m²,Appartement à vendre à Aïn Sebaâ. Surface de 72 m²,casablanca
2 000 000 DH,Les Princesses. Résidence sécurisée. Appartement. 2Ch,Les Princesses. Résidence sécurisée. Appartement. 2Ch,80 m²,casablanca
3 000 000 DH,Appartement spacieux 267m2 à Gauthier,Appartement spacieux 267m2 à Gauthier,267 m²,casablanca
6 810 000 DH,Villa usage habitation ou commerciale sidi maarouf,Villa usage habitation ou commerciale sidi maarouf,600 m²,casablanca
2 100 000 DH,Votre prochain coup de cœur au quartier Les Princesses,Votre prochain coup de cœur au quartier Les Princesses,127 m²,casablanca
13 000 000 DH,Vente Superbe Villa Val d’Anfa,Vente Superbe Villa Val d’Anfa,400 m²,casablanca
4 150 000 DH,À VENDRE – Grand Appartement d’Exception,À VENDRE – Grand Appartement d’Exception,293 m²,casablanca
8 800 000 DH,Ain Diab. Villa de charme. Avec jardin et terrasse. 5 pièces...,Ain Diab. Villa de charme. Avec jardin et terrasse. 5 pièces...,350 m²,casablanca
